time,oscillator_id,send_count,cycle_index,phase_ms,selected_run_index,selection
323097.43276859465,1,65,65,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
323745.52144858567,4,65,65,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
326625.7160944118,2,66,65,4960.716094411793,3,"KURAMOTO N=5 K=10, PER=0"
326767.2839055882,3,66,66,102.28390558820684,3,"KURAMOTO N=5 K=10, PER=0"
327449.953153497,0,66,66,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
328097.43276859465,1,66,66,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
328745.52144858567,4,66,66,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
331624.8312820278,2,67,66,4959.831282027822,3,"KURAMOTO N=5 K=10, PER=0"
331768.1687179722,3,67,67,103.16871797217755,3,"KURAMOTO N=5 K=10, PER=0"
332449.953153497,0,67,67,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
333097.43276859465,1,67,67,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
333745.52144858567,4,67,67,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
336623.93552844296,2,68,67,4958.935528442962,3,"KURAMOTO N=5 K=10, PER=0"
336769.06447155704,3,68,68,104.0644715570379,3,"KURAMOTO N=5 K=10, PER=0"
337449.953153497,0,68,68,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
338097.43276859465,1,68,68,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
338745.52144858567,4,68,68,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
341623.0287028755,2,69,68,4958.028702875483,3,"KURAMOTO N=5 K=10, PER=0"
341769.9712971245,3,69,69,104.97129712451715,3,"KURAMOTO N=5 K=10, PER=0"
342449.953153497,0,69,69,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
343097.43276859465,1,69,69,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
343745.52144858567,4,69,69,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
346622.11067315174,2,70,69,4957.110673151736,3,"KURAMOTO N=5 K=10, PER=0"
346770.88932684826,3,70,70,105.88932684826432,3,"KURAMOTO N=5 K=10, PER=0"
347449.953153497,0,70,70,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
348097.43276859465,1,70,70,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
348745.52144858567,4,70,70,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
351621.1813056978,2,71,70,4956.181305697828,3,"KURAMOTO N=5 K=10, PER=0"
351771.8186943022,3,71,71,106.81869430217193,3,"KURAMOTO N=5 K=10, PER=0"
352449.953153497,0,71,71,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
353097.43276859465,1,71,71,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
353745.52144858567,4,71,71,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
356620.2404655317,2,72,71,4955.240465531708,3,"KURAMOTO N=5 K=10, PER=0"
356772.7595344683,3,72,72,107.75953446829226,3,"KURAMOTO N=5 K=10, PER=0"
357449.953153497,0,72,72,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
358097.43276859465,1,72,72,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
358745.52144858567,4,72,72,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
361619.2880162555,2,73,72,4954.288016255479,3,"KURAMOTO N=5 K=10, PER=0"
361773.7119837445,3,73,73,108.7119837445207,3,"KURAMOTO N=5 K=10, PER=0"
362449.953153497,0,73,73,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
363097.43276859465,1,73,73,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
363745.52144858567,4,73,73,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
366618.323820048,2,74,73,4953.323820048012,3,"KURAMOTO N=5 K=10, PER=0"
366774.676179952,3,74,74,109.67617995198816,3,"KURAMOTO N=5 K=10, PER=0"
367449.953153497,0,74,74,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
368097.43276859465,1,74,74,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
368745.52144858567,4,74,74,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
371617.3477376576,2,75,74,4952.347737657605,3,"KURAMOTO N=5 K=10, PER=0"
371775.6522623424,3,75,75,110.65226234239526,3,"KURAMOTO N=5 K=10, PER=0"
372449.953153497,0,75,75,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
373097.43276859465,1,75,75,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
373745.52144858567,4,75,75,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
376616.3596283953,2,76,75,4951.359628395294,3,"KURAMOTO N=5 K=10, PER=0"
376776.6403716047,3,76,76,111.64037160470616,3,"KURAMOTO N=5 K=10, PER=0"
377449.953153497,0,76,76,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
378097.43276859465,1,76,76,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
378745.52144858567,4,76,76,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
381615.3593501282,2,77,76,4950.359350128216,3,"KURAMOTO N=5 K=10, PER=0"
381777.6406498718,3,77,77,112.64064987178426,3,"KURAMOTO N=5 K=10, PER=0"
382449.953153497,0,77,77,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
383097.43276859465,1,77,77,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
383745.52144858567,4,77,77,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
386614.3467592733,2,78,77,4949.346759273321,3,"KURAMOTO N=5 K=10, PER=0"
386778.6532407267,3,78,78,113.65324072667863,3,"KURAMOTO N=5 K=10, PER=0"
387449.953153497,0,78,78,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
388097.43276859465,1,78,78,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
