time,oscillator_id,send_count,cycle_index,record_type,action,carrier_sense_start,carrier_sense_end,blocking_oscillator_id,blocking_transmission_start,blocking_transmission_end,min_gap_rad,new_max_abs_dev,new_mean_abs_dev,selected_run_index,highlighted_device
887682.9988242337,17,178.0,178,send,,,,,,,,,,0,20
887783.3987026268,14,178.0,178,send,,,,,,,,,,0,20
887892.6653942942,38,178.0,178,send,,,,,,,,,,0,20
887997.8081733828,20,62.0,178,send,,,,,,,,,,0,20
888111.8343881337,10,178.0,178,send,,,,,,,,,,0,20
888221.8580496341,48,178.0,178,send,,,,,,,,,,0,20
888340.135726803,34,178.0,178,send,,,,,,,,,,0,20
888448.9043455196,1,178.0,178,send,,,,,,,,,,0,20
888567.6644260468,40,178.0,178,send,,,,,,,,,,0,20
888675.8097290717,15,178.0,178,send,,,,,,,,,,0,20
888798.9884468381,36,170.0,178,send,,,,,,,,,,0,20
888909.1496301729,43,143.0,178,send,,,,,,,,,,0,20
889029.3643702179,45,178.0,178,send,,,,,,,,,,0,20
889140.407914939,18,178.0,178,send,,,,,,,,,,0,20
889254.7574308654,47,178.0,178,send,,,,,,,,,,0,20
889368.5274841697,32,178.0,178,send,,,,,,,,,,0,20
889473.7468449065,5,178.0,178,send,,,,,,,,,,0,20
889588.2574595112,44,178.0,178,send,,,,,,,,,,0,20
889687.7441486791,9,169.0,178,send,,,,,,,,,,0,20
889805.6650540245,11,178.0,178,send,,,,,,,,,,0,20
889914.3040619321,30,178.0,178,send,,,,,,,,,,0,20
890014.5239063322,13,178.0,178,send,,,,,,,,,,0,20
890114.3427960267,4,178.0,178,send,,,,,,,,,,0,20
890214.5463420263,25,178.0,178,send,,,,,,,,,,0,20
890306.5149951313,35,172.0,178,send,,,,,,,,,,0,20
890398.8286384678,28,166.0,178,send,,,,,,,,,,0,20
890483.8057065202,21,151.0,178,send,,,,,,,,,,0,20
890567.9290115276,22,178.0,178,send,,,,,,,,,,0,20
890653.0272232171,16,127.0,178,send,,,,,,,,,,0,20
890737.4239925479,2,107.0,179,send,,,,,,,,,,0,20
890829.0413882298,6,179.0,179,send,,,,,,,,,,0,20
890906.0484072572,39,179.0,179,send,,,,,,,,,,0,20
890997.1481842867,41,179.0,179,send,,,,,,,,,,0,20
891080.7399024387,24,139.0,179,send,,,,,,,,,,0,20
891172.0286864833,29,78.0,179,send,,,,,,,,,,0,20
891256.944261299,12,179.0,179,send,,,,,,,,,,0,20
891344.3786422458,49,172.0,179,send,,,,,,,,,,0,20
891439.2042183392,37,155.0,179,send,,,,,,,,,,0,20
891534.0994410091,46,148.0,179,send,,,,,,,,,,0,20
891637.0547715921,26,179.0,179,send,,,,,,,,,,0,20
891739.4540408587,33,179.0,179,send,,,,,,,,,,0,20
891842.4983752173,0,179.0,179,send,,,,,,,,,,0,20
