cycle_index,min_gap_rad,new_max_abs_dev,new_mean_abs_dev,function,K,run_index,selected_for_median
31,0.03243359006051649,0.17802832484381853,0.034955342864165614,LINEAR,10,24,True
32,0.04487022631464921,0.1753557545499504,0.034941758970590577,LINEAR,10,24,True
33,0.05725711602376993,0.17804715943081345,0.034470755112260464,LINEAR,10,24,True
34,0.06959445817406906,0.1666210449448366,0.03445669039801075,LINEAR,10,24,True
35,0.07170964712962402,0.1629124381122084,0.03398616323672281,LINEAR,10,24,True
36,0.07917822910618766,0.15519318327367077,0.03397162138940965,LINEAR,10,24,True
37,0.07065636724604896,0.15449263938531005,0.03350156918786818,LINEAR,10,24,True
38,0.07917904676635845,0.15522983329228673,0.03348655193793644,LINEAR,10,24,True
39,0.0706957877496025,0.14372986122393366,0.03301697297739702,LINEAR,10,24,True
40,0.07917987023255857,0.14254744209538933,0.03300327568129889,LINEAR,10,24,True
41,0.0707350161557374,0.1437637900517334,0.032620805064157696,LINEAR,10,24,True
42,0.07918069946792239,0.13221505301134123,0.032606477405552226,LINEAR,10,24,True
43,0.07077405351204902,0.13062648394979942,0.032137507830742165,LINEAR,10,24,True
44,0.07918153443562104,0.13224661611079308,0.032121712554030804,LINEAR,10,24,True
45,0.07081290086024516,0.12064936027280532,0.0316541791521088,LINEAR,10,24,True
46,0.07918237509897175,0.11872985260103314,0.03163791331359819,LINEAR,10,24,True
47,0.07085155923596165,0.12067895773920351,0.031170846424877482,LINEAR,10,24,True
48,0.0791832214215113,0.10903328345917557,0.03115421989997331,LINEAR,10,24,True
49,0.0708900296691296,0.10685749213588797,0.03069543460120937,LINEAR,10,24,True
50,0.07918407336663019,0.10906121677426234,0.030985559723496713,LINEAR,10,24,True
51,0.07092831318375525,0.09736722379643908,0.030615724479208125,LINEAR,10,24,True
52,0.07918493089804823,0.09500920600462565,0.030983608465124376,LINEAR,10,24,True
53,0.07096641079802912,0.09739379203845527,0.030614954517411058,LINEAR,10,24,True
54,0.07918579397952119,0.08565157931080919,0.030982081836861814,LINEAR,10,24,True
55,0.07100432352451036,0.08318479923318128,0.03061363174584513,LINEAR,10,24,True
56,0.0791866625750618,0.08567712721965409,0.030901041684491176,LINEAR,10,24,True
57,0.07104205236983274,0.07402797606399475,0.030442727656620434,LINEAR,10,24,True
58,0.07918753664849904,0.07497242429573853,0.03042217165529026,LINEAR,10,24,True
59,0.07107959833503463,0.07857683584278846,0.02995732909121175,LINEAR,10,24,True
60,0.07918841616406469,0.07497773271701175,0.02993728536436435,LINEAR,10,24,True
61,0.07111696241548549,0.07855529100402031,0.02947289488865696,LINEAR,10,24,True
62,0.07918930108577088,0.0749829653186051,0.029452394196400205,LINEAR,10,24,True
63,0.07115414560099542,0.07853388135965583,0.028988456195625414,LINEAR,10,24,True
64,0.07919019137821509,0.07498812268290606,0.029096947290120297,LINEAR,10,24,True
65,0.07119114887552347,0.07851255874355728,0.02898726911039012,LINEAR,10,24,True
66,0.07919108700577537,0.07499320529363035,0.029095536164604637,LINEAR,10,24,True
67,0.07122797321761554,0.07399925673651947,0.02898608205970307,LINEAR,10,24,True
