function,label,k,overall_per_mean
LINEAR_4,modified frog chorus based,97.0,2.761355555555556
LINEAR_4,modified frog chorus based,98.0,2.8112888888888894
LINEAR_4,modified frog chorus based,99.0,2.8302222222222224
LINEAR_4,modified frog chorus based,100.0,2.881377777777778
LINEAR_4,modified frog chorus based,101.0,2.942355555555556
LINEAR_4,modified frog chorus based,102.0,2.934311111111111
LINEAR_4,modified frog chorus based,103.0,2.923955555555555
LINEAR_4,modified frog chorus based,104.0,2.927688888888889
LINEAR_4,modified frog chorus based,105.0,2.926711111111111
LINEAR_4,modified frog chorus based,106.0,3.040977777777778
LINEAR_4,modified frog chorus based,107.0,3.0116
LINEAR_4,modified frog chorus based,108.0,3.113866666666667
LINEAR_4,modified frog chorus based,109.0,3.2719333333333336
LINEAR_4,modified frog chorus based,110.0,3.250333333333333
LINEAR_4,modified frog chorus based,111.0,3.404200000000001
LINEAR_4,modified frog chorus based,112.0,3.3204888888888893
LINEAR_4,modified frog chorus based,113.0,3.4078000000000004
LINEAR_4,modified frog chorus based,114.0,3.310888888888889
LINEAR_4,modified frog chorus based,115.0,3.509933333333334
LINEAR_4,modified frog chorus based,116.0,3.5650666666666666
LINEAR_4,modified frog chorus based,117.0,3.593933333333333
LINEAR_4,modified frog chorus based,118.0,3.658
LINEAR_4,modified frog chorus based,119.0,3.629955555555556
LINEAR_4,modified frog chorus based,120.0,3.8318222222222222
LINEAR_4,modified frog chorus based,121.0,3.884422222222223
LINEAR_4,modified frog chorus based,122.0,3.8526
LINEAR_4,modified frog chorus based,123.0,3.9325777777777775
LINEAR_4,modified frog chorus based,124.0,4.088955555555556
LINEAR_4,modified frog chorus based,125.0,4.171755555555555
LINEAR_4,modified frog chorus based,126.0,4.233088888888888
LINEAR_4,modified frog chorus based,127.0,4.351266666666667
LINEAR_4,modified frog chorus based,128.0,4.439533333333332
LINEAR_4,modified frog chorus based,129.0,4.605711111111112
LINEAR_4,modified frog chorus based,130.0,4.526177777777777
LINEAR_4,modified frog chorus based,131.0,4.742133333333333
LINEAR_4,modified frog chorus based,132.0,4.880333333333333
LINEAR_4,modified frog chorus based,133.0,4.899688888888888
LINEAR_4,modified frog chorus based,134.0,4.9372444444444445
LINEAR_4,modified frog chorus based,135.0,5.027466666666667
LINEAR_4,modified frog chorus based,136.0,5.2992888888888885
LINEAR_4,modified frog chorus based,137.0,5.3614444444444445
LINEAR_4,modified frog chorus based,138.0,5.541911111111111
LINEAR_4,modified frog chorus based,139.0,5.568688888888889
LINEAR_4,modified frog chorus based,140.0,5.598911111111112
LINEAR_4,modified frog chorus based,141.0,5.831488888888889
LINEAR_4,modified frog chorus based,142.0,5.7928444444444445
LINEAR_4,modified frog chorus based,143.0,6.058622222222223
LINEAR_4,modified frog chorus based,144.0,6.105333333333332
LINEAR_4,modified frog chorus based,145.0,6.293577777777778
LINEAR_4,modified frog chorus based,146.0,6.454222222222223
LINEAR_4,modified frog chorus based,147.0,6.506200000000001
LINEAR_4,modified frog chorus based,148.0,6.4652666666666665
LINEAR_4,modified frog chorus based,149.0,6.728222222222223
LINEAR_4,modified frog chorus based,150.0,6.803111111111111
NewSIN,1-sin based,1.0,3.641466666666667
NewSIN,1-sin based,2.0,2.020466666666666
NewSIN,1-sin based,3.0,1.3725333333333336
NewSIN,1-sin based,4.0,1.0414666666666663
NewSIN,1-sin based,5.0,0.8514
NewSIN,1-sin based,6.0,0.7271555555555553
NewSIN,1-sin based,7.0,0.6322666666666666
NewSIN,1-sin based,8.0,0.5747555555555559
NewSIN,1-sin based,9.0,0.5420888888888893
NewSIN,1-sin based,10.0,0.5208888888888893
NewSIN,1-sin based,11.0,0.505288888888889
NewSIN,1-sin based,12.0,0.5011555555555557
NewSIN,1-sin based,13.0,0.4898444444444447
NewSIN,1-sin based,14.0,0.480066666666667
NewSIN,1-sin based,15.0,0.4749555555555559
NewSIN,1-sin based,16.0,0.4752444444444447
NewSIN,1-sin based,17.0,0.4694222222222223
NewSIN,1-sin based,18.0,0.4698666666666667
NewSIN,1-sin based,19.0,0.4686666666666665
NewSIN,1-sin based,20.0,0.4589333333333334
NewSIN,1-sin based,21.0,0.4555111111111109
NewSIN,1-sin based,22.0,0.4616444444444447
NewSIN,1-sin based,23.0,0.4584222222222222
NewSIN,1-sin based,24.0,0.4516666666666667
NewSIN,1-sin based,25.0,0.4522888888888888
NewSIN,1-sin based,26.0,0.4530444444444446
NewSIN,1-sin based,27.0,0.4555333333333337
NewSIN,1-sin based,28.0,0.455888888888889
NewSIN,1-sin based,29.0,0.4607111111111114
NewSIN,1-sin based,30.0,0.4712666666666671
NewSIN,1-sin based,31.0,0.4735111111111115
NewSIN,1-sin based,32.0,0.4706000000000002
NewSIN,1-sin based,33.0,0.4844444444444446
NewSIN,1-sin based,34.0,0.4959111111111112
NewSIN,1-sin based,35.0,0.4918444444444445
NewSIN,1-sin based,36.0,0.4907333333333334
NewSIN,1-sin based,37.0,0.4943777777777779
NewSIN,1-sin based,38.0,0.5182444444444445
NewSIN,1-sin based,39.0,0.5201555555555557
NewSIN,1-sin based,40.0,0.5358222222222222
NewSIN,1-sin based,41.0,0.5385111111111112
NewSIN,1-sin based,42.0,0.556466666666667
NewSIN,1-sin based,43.0,0.5691333333333336
NewSIN,1-sin based,44.0,0.5840444444444447
NewSIN,1-sin based,45.0,0.6025333333333335
NewSIN,1-sin based,46.0,0.6134888888888893
NewSIN,1-sin based,47.0,0.6162000000000005
NewSIN,1-sin based,48.0,0.6289777777777781
NewSIN,1-sin based,49.0,0.6466444444444448
NewSIN,1-sin based,50.0,0.6423111111111114
NewSIN,1-sin based,51.0,0.6713111111111114
NewSIN,1-sin based,52.0,0.6809555555555558
NewSIN,1-sin based,53.0,0.6955555555555559
NewSIN,1-sin based,54.0,0.7128444444444445
NewSIN,1-sin based,55.0,0.7320222222222224
NewSIN,1-sin based,56.0,0.7467111111111112
NewSIN,1-sin based,57.0,0.7687777777777778
NewSIN,1-sin based,58.0,0.776488888888889
