function,label,k,residual_median,residual_q1,residual_q3,n_runs
LINEAR,frog chorus based,86.0,0.0516046292203541,0.0505827907682763,0.0531496407816496,493
LINEAR,frog chorus based,87.0,0.0520356199691299,0.0511230825647572,0.0534561419969273,491
LINEAR,frog chorus based,88.0,0.0526056894060108,0.0515761201936622,0.0538269347426141,493
LINEAR,frog chorus based,89.0,0.0530524007144384,0.0521313900206307,0.0544367176016239,490
LINEAR,frog chorus based,90.0,0.0535708644320974,0.0524780846042853,0.0548785493805531,492
LINEAR,frog chorus based,91.0,0.0540643804723844,0.0530558032431807,0.0553128228826562,494
LINEAR,frog chorus based,92.0,0.0545860129097558,0.0535435277563658,0.0559113043493808,495
LINEAR,frog chorus based,93.0,0.0552583249550904,0.0542360639457672,0.0563854401797403,493
LINEAR,frog chorus based,94.0,0.0555814258653265,0.0545889996844271,0.0567792835587294,491
LINEAR,frog chorus based,95.0,0.0562151732346843,0.0551553382105801,0.0572090025591872,495
LINEAR,frog chorus based,96.0,0.0567822121351543,0.0557386407667786,0.0578064475823308,494
LINEAR,frog chorus based,97.0,0.057214118162823,0.0561717086116045,0.058166455983371,493
LINEAR,frog chorus based,98.0,0.05766848145056,0.0566919684902576,0.0588753523997328,491
LINEAR,frog chorus based,99.0,0.0582908371348129,0.0573121795219805,0.0593630841507839,489
LINEAR,frog chorus based,100.0,0.0588699936678309,0.0575942387510735,0.0599189456785221,493
LINEAR,frog chorus based,101.0,0.0594210517730458,0.0582371833879192,0.0604615706639164,494
LINEAR,frog chorus based,102.0,0.0597585408444789,0.058545873529056,0.0609740670388839,491
LINEAR,frog chorus based,103.0,0.0603167715486338,0.0592155313987989,0.0614801368146189,490
LINEAR,frog chorus based,104.0,0.0609967344723055,0.0597575394337124,0.0621363410370455,491
LINEAR,frog chorus based,105.0,0.0616982106134941,0.060411732734491,0.0627184284102931,494
LINEAR,frog chorus based,106.0,0.0621728030993443,0.0609782816643836,0.063302484601781,495
LINEAR,frog chorus based,107.0,0.0623940894468203,0.061310698509631,0.0637167564729605,497
LINEAR,frog chorus based,108.0,0.0632619043904474,0.0618946267833484,0.0644243083765274,494
LINEAR,frog chorus based,109.0,0.0637908497454137,0.0624829670581537,0.0651067682730631,489
LINEAR,frog chorus based,110.0,0.0640847784741761,0.0627655090946456,0.0655213449723065,488
LINEAR,frog chorus based,111.0,0.0649520619358037,0.0635474273264964,0.0661467910602262,493
LINEAR,frog chorus based,112.0,0.065271704856054,0.063681851966318,0.0668083671610284,494
LINEAR,frog chorus based,113.0,0.0657133671212384,0.0641911391710596,0.067313427881722,493
LINEAR,frog chorus based,114.0,0.0663120974256065,0.0646250104313425,0.0677200258757454,495
LINEAR,frog chorus based,115.0,0.0668437205645091,0.0650274929326163,0.068315994968779,493
LINEAR,frog chorus based,116.0,0.0673075141191647,0.0656216273710051,0.0688080403565293,492
LINEAR,frog chorus based,117.0,0.0679035901969716,0.0663901778329917,0.0693562661941016,493
LINEAR,frog chorus based,118.0,0.0684186200797949,0.0667406271311061,0.0699212634156001,494
LINEAR,frog chorus based,119.0,0.0688509905334044,0.0670743077490836,0.0704775722714331,492
LINEAR,frog chorus based,120.0,0.06914216934421,0.0674981051552998,0.0708786308612135,496
LINEAR,frog chorus based,121.0,0.0696038822664786,0.0677534024881905,0.0712220566320824,496
LINEAR,frog chorus based,122.0,0.0701243447923538,0.0682831301353103,0.0718878704453686,495
LINEAR,frog chorus based,123.0,0.070500270818566,0.0688129035379832,0.0722071941825685,496
LINEAR,frog chorus based,124.0,0.0710805721684258,0.069264547480278,0.0731672723750913,493
LINEAR,frog chorus based,125.0,0.071671430172716,0.0697861821886205,0.0733646582528744,494
LINEAR,frog chorus based,126.0,0.0716457123599448,0.0700712260230878,0.0735336876304138,491
LINEAR,frog chorus based,127.0,0.0725003516473765,0.070911637419979,0.0745788893829223,493
LINEAR,frog chorus based,128.0,0.0726953899994569,0.0709058279634445,0.0747367962720956,486
LINEAR,frog chorus based,129.0,0.0730780009353179,0.0713466520365078,0.0751602896289631,493
LINEAR,frog chorus based,130.0,0.0736679808309121,0.0718501481123339,0.0754931982546985,485
LINEAR,frog chorus based,131.0,0.0739353941310894,0.072344126188395,0.076079003154223,493
LINEAR,frog chorus based,132.0,0.0745950451515674,0.0726989385887302,0.0764966275823932,493
LINEAR,frog chorus based,133.0,0.0750065962891678,0.0730583528189872,0.0770129027004851,490
LINEAR,frog chorus based,134.0,0.0753425448566834,0.0735445851326947,0.0774550787616242,489
LINEAR,frog chorus based,135.0,0.0760026911464683,0.0737084742158756,0.0781440147050493,491
LINEAR,frog chorus based,136.0,0.0764089898804593,0.0744225802332984,0.0783383101748544,494
LINEAR,frog chorus based,137.0,0.0764793402474328,0.074801808805506,0.0787275730349707,490
LINEAR,frog chorus based,138.0,0.076922744802643,0.0750734708594164,0.0790665997661387,490
LINEAR,frog chorus based,139.0,0.077755280938067,0.075998292091875,0.0796141963691527,497
LINEAR,frog chorus based,140.0,0.0782440619643966,0.0763714674021767,0.0802515311532012,493
LINEAR,frog chorus based,141.0,0.0786289092746779,0.076443717928227,0.0809909811692587,493
