coupling_function,phase_difference_rad,coupling_function_value
KURAMOTO,-0.13089969389957457,-0.13052619222005143
KURAMOTO,-0.12217304763960302,-0.12186934340514742
KURAMOTO,-0.11344640137963147,-0.11320321376790676
KURAMOTO,-0.10471975511965992,-0.10452846326765361
KURAMOTO,-0.09599310885968793,-0.09584575252022379
KURAMOTO,-0.08726646259971638,-0.08715574274765807
KURAMOTO,-0.07853981633974483,-0.07845909572784494
KURAMOTO,-0.06981317007977328,-0.0697564737441254
KURAMOTO,-0.061086523819801286,-0.06104853953485662
KURAMOTO,-0.05235987755982974,-0.05233595624294368
KURAMOTO,-0.04363323129985819,-0.04361938736533595
KURAMOTO,-0.03490658503988664,-0.03489949670250102
KURAMOTO,-0.02617993877991509,-0.0261769483078733
