function,label,delta_rad,coupling_value
NewSIN,1-sin based,0.33161255787892263,0.6744318455428433
NewSIN,1-sin based,0.34033920413889424,0.6661931407662292
NewSIN,1-sin based,0.3490658503988659,0.6579798566743313
NewSIN,1-sin based,0.35779249665883756,0.6497926187405325
NewSIN,1-sin based,0.3665191429188092,0.6416320504546997
NewSIN,1-sin based,0.3752457891787809,0.6334987732757027
NewSIN,1-sin based,0.3839724354387525,0.625393406584088
NewSIN,1-sin based,0.39269908169872414,0.6173165676349102
NewSIN,1-sin based,0.4014257279586958,0.6092688715107262
NewSIN,1-sin based,0.41015237421866746,0.6012509310747538
NewSIN,1-sin based,0.4188790204786391,0.5932633569241998
NewSIN,1-sin based,0.4276056667386107,0.5853067573437609
NewSIN,1-sin based,0.4363323129985824,0.5773817382593005
NewSIN,1-sin based,0.44505895925855404,0.5694889031917049
NewSIN,1-sin based,0.4537856055185257,0.5616288532109226
NewSIN,1-sin based,0.4625122517784973,0.5538021868901912
NewSIN,1-sin based,0.47123889803846897,0.5460095002604533
NewSIN,1-sin based,0.4799655442984406,0.5382513867649661
NewSIN,1-sin based,0.4886921905584123,0.5305284372141092
NewSIN,1-sin based,0.49741883681838395,0.5228412397403917
NewSIN,1-sin based,0.5061454830783556,0.515190379753663
NewSIN,1-sin based,0.5148721293383273,0.5075764398965328
NewSIN,1-sin based,0.5235987755982988,0.5
NewSIN,1-sin based,0.5323254218582705,0.4924616370392959
NewSIN,1-sin based,0.5410520681182421,0.48496192508994584
NewSIN,1-sin based,0.5497787143782138,0.4775014352840512
NewSIN,1-sin based,0.5585053606381855,0.4700807357667951
NewSIN,1-sin based,0.5672320068981571,0.4627003916531762
NewSIN,1-sin based,0.5759586531581288,0.4553609649849729
NewSIN,1-sin based,0.5846852994181004,0.44806301468794185
NewSIN,1-sin based,0.5934119456780721,0.4408070965292531
NewSIN,1-sin based,0.6021385919380436,0.43359376307516717
NewSIN,1-sin based,0.6108652381980153,0.42642356364895395
NewSIN,1-sin based,0.619591884457987,0.41929704428906023
NewSIN,1-sin based,0.6283185307179586,0.41221474770752686
NewSIN,1-sin based,0.6370451769779303,0.40517721324865874
NewSIN,1-sin based,0.6457718232379019,0.39818497684795173
NewSIN,1-sin based,0.6544984694978736,0.39123857099127934
NewSIN,1-sin based,0.6632251157578453,0.3843385246743417
NewSIN,1-sin based,0.6719517620178169,0.37748536336238037
NewSIN,1-sin based,0.6806784082777885,0.3706796089501626
NewSIN,1-sin based,0.6894050545377601,0.36392177972223605
NewSIN,1-sin based,0.6981317007977318,0.35721239031346075
NewSIN,1-sin based,0.7068583470577035,0.35055195166981634
