function,label,residual_column,time_point_min,k,residual_phase_spacing_error,n_runs
LINEAR,frog chorus based,residual_median,30,43.0,0.0347996322985014,495
LINEAR,frog chorus based,residual_median,30,44.0,0.0351267805983739,492
LINEAR,frog chorus based,residual_median,30,45.0,0.0353699575913327,494
LINEAR,frog chorus based,residual_median,30,46.0,0.0354607680117856,494
LINEAR,frog chorus based,residual_median,30,47.0,0.0356321339121692,491
LINEAR,frog chorus based,residual_median,30,48.0,0.0358639513716345,495
LINEAR,frog chorus based,residual_median,30,49.0,0.0361984085934644,491
LINEAR,frog chorus based,residual_median,30,50.0,0.0365557856364693,492
LINEAR,frog chorus based,residual_median,30,51.0,0.0370248183603411,494
LINEAR,frog chorus based,residual_median,30,52.0,0.037122955478288,491
LINEAR,frog chorus based,residual_median,30,53.0,0.0372500637941948,487
